Unnamed: 0,French,English
0,histoire,history
1,seulement,only
2,pensais,thought
3,aide,help
4,demande,request
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,laisse,leash
12,eux,them
13,chaque,each
14,parlé,speak
16,devrait,should
17,bébé,baby
18,longtemps,long time
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,compris,understood
26,savais,knew
27,étaient,were
28,attention,Warning
29,voici,here is
30,pourrais,could
31,affaire,case
32,donner,give
33,type,type
34,leurs,their
35,corps,body
36,endroit,place
37,yeux,eyes
38,façon,way
39,écoute,listen
42,premier,first
43,perdu,lost
44,main,hand
46,pouvoir,power
47,vieux,old
48,sois,be
49,tiens,here
51,tellement,so much
52,enfant,child
53,point,point
54,venu,came
55,suite,after
56,pardon,sorry
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,demandé,request
62,chambre,bedroom
63,mis,placed
65,droit,law
66,aujourd'hui,today
67,mari,husband
68,cause,cause
69,espère,hope
70,eau,water
71,attendez,Wait
72,parti,left
74,arrêter,Stop
75,dirait,would say
77,compte,account
78,loin,far
79,fin,end
80,croire,believe
81,chérie,sweetheart
82,gros,large
83,plutôt,rather
84,aura,will have
85,jouer,to play
86,bureau,office
